date,ticker,avg_sentiment,tweet_count
01/01/2020,AAPL,0.2732,1
01/01/2020,AMZN,0.0,1
01/01/2020,TSLA,0.11197499999999999,4
01/02/2020,AAPL,0.26113333333333333,3
01/02/2020,AMZN,0.5499,1
01/02/2020,BABA,0.0,1
01/02/2020,TSLA,0.3182,1
01/03/2020,AAPL,0.4404,1
01/04/2020,AAPL,-0.2318,3
01/04/2020,BA,0.237,6
01/04/2020,CCL,0.19093333333333332,3
01/04/2020,DIS,-0.033062499999999995,8
01/04/2020,MSFT,0.0,2
01/04/2020,NVDA,0.0,1
01/04/2020,TSLA,-0.3592,2
01/05/2020,AAPL,0.28595,2
01/05/2020,AMZN,0.06636666666666667,6
01/05/2020,BA,0.4821,3
01/05/2020,BABA,0.0,1
01/05/2020,CCL,0.25920000000000004,3
01/05/2020,DIS,0.14886666666666667,3
01/05/2020,MSFT,0.0,1
01/05/2020,TSLA,0.07086666666666666,99
01/05/2020,XOM,0.1366,2
01/06/2020,AAPL,0.39185000000000003,2
01/06/2020,TSLA,-0.026542857142857146,7
01/07/2020,AMZN,0.40132500000000004,4
01/07/2020,BA,0.05896666666666666,9
01/07/2020,FB,-0.20095,2
01/07/2020,MSFT,-0.6808,1
01/07/2020,SBUX,0.4588,1
01/07/2020,TSLA,0.053239999999999996,5
01/08/2020,AAPL,0.23132000000000003,5
01/08/2020,AMZN,0.4939,1
01/08/2020,MSFT,0.4811666666666667,3
01/08/2020,WMT,0.5859,1
01/09/2020,AAPL,0.1540521739130435,23
01/09/2020,AMZN,0.5106,1
01/09/2020,BABA,0.0,1
01/09/2020,HD,0.0,1
01/09/2020,KO,0.0,1
01/09/2020,MSFT,0.5232,1
01/09/2020,NFLX,0.1998,3
01/09/2020,PFE,0.0,1
01/09/2020,TSLA,0.10679887640449438,89
01/09/2020,WMT,0.7157,2
01/10/2020,AAPL,0.2630571428571428,7
01/10/2020,AMZN,0.4215,1
01/10/2020,BA,-0.2749333333333333,3
01/10/2020,BABA,0.296,1
01/10/2020,DIS,0.1366,2
01/10/2020,NFLX,0.3182,1
01/10/2020,PFE,0.4572,1
01/10/2020,TSLA,0.1494909090909091,22
01/10/2020,WMT,0.0,1
01/10/2020,XOM,-0.6486,1
01/11/2020,AAPL,-0.3612,1
01/12/2020,AAPL,0.15176,10
01/12/2020,AMZN,0.50845,2
01/12/2020,BA,0.9001,1
01/12/2020,CCL,-0.6433,1
01/12/2020,FB,-0.0276,1
01/12/2020,NVDA,0.0,1
01/12/2020,PFE,0.10884,10
01/12/2020,PYPL,0.43116666666666664,3
01/12/2020,TSLA,-0.02795384615384615,13
02/01/2020,AAPL,0.376125,8
02/01/2020,DIS,0.0,1
02/01/2020,HD,-0.3321,1
02/01/2020,TSLA,-0.3291,1
02/02/2020,AAPL,-0.01815,2
02/03/2020,AAPL,0.2795814814814815,27
02/03/2020,AMZN,-0.1909,2
02/03/2020,BABA,0.27625,2
02/03/2020,DIS,0.3612,1
02/03/2020,HD,0.4404,1
02/03/2020,MSFT,0.10821666666666667,6
02/03/2020,TSLA,0.269721052631579,19
02/03/2020,V,-0.1896,3
02/04/2020,AAPL,-0.0797,4
02/04/2020,BA,-0.024312499999999987,8
02/04/2020,CCL,-0.18510000000000001,3
02/04/2020,DIS,-0.21364,5
02/04/2020,MSFT,-0.148,2
02/04/2020,NFLX,0.0,1
02/04/2020,NVDA,-0.3412,1
02/04/2020,SBUX,0.148,2
02/04/2020,TSLA,0.0851857142857143,28
02/04/2020,XOM,0.4404,1
02/05/2020,AMZN,-0.030149999999999982,2
02/05/2020,BA,-0.1531,1
02/05/2020,CCL,-0.0772,1
02/05/2020,DIS,0.0,1
02/05/2020,TSLA,0.13535,12
02/06/2020,AMZN,-0.1237,2
02/06/2020,BA,0.0,1
02/06/2020,BABA,0.36335,2
02/06/2020,CCL,0.4939,1
02/06/2020,FB,0.0,1
02/06/2020,HD,0.0,1
02/06/2020,KO,0.296,1
02/06/2020,MSFT,-0.0772,1
02/06/2020,NFLX,0.431,1
02/06/2020,TSLA,0.08970000000000002,7
02/07/2020,AAPL,0.575,2
02/07/2020,AMZN,0.33648,5
02/07/2020,BA,0.1886,2
02/07/2020,BABA,0.4588,1
02/07/2020,CCL,0.7832,1
02/07/2020,FB,0.08916666666666663,3
02/07/2020,MSFT,0.0,1
02/07/2020,NFLX,0.08934999999999998,2
02/07/2020,TSLA,0.08680555555555557,18
02/07/2020,V,0.4404,1
02/08/2020,AAPL,0.0,1
02/09/2020,AAPL,0.24958823529411767,17
02/09/2020,AMZN,-0.27115,2
02/09/2020,BA,0.0,1
02/09/2020,BAC,0.0,1
02/09/2020,CCL,-0.0516,1
02/09/2020,DIS,0.3612,1
02/09/2020,LOW,0.044799999999999986,3
02/09/2020,MSFT,0.0006500000000000025,6
02/09/2020,NFLX,0.34,1
02/09/2020,NVDA,0.15293333333333334,3
02/09/2020,PFE,0.0,1
02/09/2020,SBUX,0.0258,1
02/09/2020,TSLA,0.029844155844155843,77
02/09/2020,WMT,0.0903,4
02/09/2020,XOM,-0.0258,1
02/10/2020,AAPL,0.16176666666666664,12
02/10/2020,AMZN,0.2732,1
02/10/2020,BA,0.3592,2
02/10/2020,MSFT,-0.1072,2
02/10/2020,NVDA,0.4754,1
02/10/2020,TSLA,0.3213576923076923,26
02/10/2020,UPS,-0.4939,1
02/11/2020,AAPL,-0.13370909090909092,11
02/11/2020,PYPL,0.0,1
02/12/2020,AAPL,0.32746,5
02/12/2020,AMT,0.0,1
02/12/2020,AMZN,-0.2553,2
02/12/2020,BA,0.10708333333333332,6
02/12/2020,BABA,0.0,1
02/12/2020,CCL,0.0,1
02/12/2020,HD,0.4019,1
02/12/2020,NFLX,0.0,1
02/12/2020,NVDA,0.0772,1
02/12/2020,PFE,0.16438333333333333,6
02/12/2020,TSLA,-0.008106249999999999,16
03/01/2020,AAPL,0.10383333333333333,6
03/01/2020,AMZN,0.0,1
03/01/2020,GOOGL,0.4404,1
03/01/2020,NVDA,0.0,1
03/01/2020,TSLA,0.0373,6
03/02/2020,AAPL,0.11373333333333334,3
03/02/2020,DIS,0.42755,2
03/02/2020,GOOG,0.25,1
03/02/2020,GOOGL,-0.1531,1
03/02/2020,NKE,0.0,1
03/02/2020,TSLA,0.17697333333333332,15
03/03/2020,AAPL,0.06398333333333335,12
03/03/2020,AMZN,-0.02345999999999999,5
03/03/2020,BABA,-0.4019,1
03/03/2020,BAC,0.0,2
03/03/2020,DIS,0.3014,3
03/03/2020,GOOG,-0.7364,1
03/03/2020,GOOGL,-0.7506,1
03/03/2020,MA,0.0,1
03/03/2020,MSFT,0.0,2
03/03/2020,NVDA,0.0,1
03/03/2020,SBUX,0.296,1
03/03/2020,TSLA,0.2195725,40
03/03/2020,V,-0.34,1
03/03/2020,XOM,-0.3182,1
03/04/2020,AAPL,0.0,1
03/04/2020,BA,0.33313333333333334,3
03/04/2020,CCL,-0.17675,4
03/04/2020,DIS,0.0,1
03/04/2020,FB,0.4927,1
03/04/2020,NVDA,-0.3732,1
03/04/2020,SBUX,0.0,1
03/04/2020,TSLA,0.022952,25
03/04/2020,WMT,0.9362,1
03/05/2020,AAPL,0.5106,1
03/06/2020,AMZN,0.4572,1
03/06/2020,BA,0.29385,10
03/06/2020,BABA,0.41355,2
03/06/2020,DIS,0.3612,1
03/06/2020,FB,0.34,1
03/06/2020,HD,0.6369,1
03/06/2020,MSFT,0.4404,1
03/06/2020,PFE,0.0,1
03/06/2020,TSLA,-0.3049,6
03/06/2020,XOM,0.0,1
03/07/2020,TSLA,-0.07574,5
03/08/2020,AAPL,0.13574615384615385,13
03/08/2020,MSFT,0.0,2
03/09/2020,AAPL,0.1928086956521739,23
03/09/2020,BA,0.05172500000000001,4
03/09/2020,BAC,0.0,1
03/09/2020,FB,0.0,1
03/09/2020,LOW,-0.2732,1
03/09/2020,MSFT,0.004039999999999997,5
03/09/2020,NVDA,-0.008350000000000024,2
03/09/2020,TSLA,0.0453175925925926,108
03/09/2020,WMT,0.28744000000000003,5
03/10/2020,TSLA,-0.5106,1
03/11/2020,AAPL,0.3186333333333333,3
03/11/2020,BABA,0.21661999999999998,5
03/11/2020,PYPL,-0.25,1
03/11/2020,TSLA,0.4404,1
03/11/2020,WMT,0.6705,1
03/12/2020,AAPL,-0.06868571428571428,7
03/12/2020,AMZN,0.31915,4
03/12/2020,BA,0.14605714285714286,7
03/12/2020,BABA,0.296,1
03/12/2020,BAC,0.5423,1
03/12/2020,HD,0.0,1
03/12/2020,JNJ,0.0,2
03/12/2020,NFLX,0.2583,2
03/12/2020,NVDA,-0.2732,1
03/12/2020,PFE,0.2301375,8
03/12/2020,SBUX,0.2023,1
03/12/2020,TSLA,0.09449230769230768,13
04/01/2020,TSLA,-0.3182,1
04/02/2020,AAPL,0.0,1
04/02/2020,AMZN,-0.1591,2
04/02/2020,DIS,0.25180555555555556,18
04/02/2020,MSFT,0.0,1
04/02/2020,NFLX,0.0,2
04/02/2020,PYPL,0.3612,1
04/02/2020,TSLA,0.1834826086956522,46
04/02/2020,V,0.0,1
04/03/2020,AAPL,0.020824999999999996,8
04/03/2020,AMZN,0.0693,2
04/03/2020,BA,0.0,1
04/03/2020,BABA,0.0,1
04/03/2020,CCL,0.0,1
04/03/2020,DIS,-0.26335,2
04/03/2020,FB,0.0,1
04/03/2020,MSFT,0.2023,1
04/03/2020,NVDA,0.24695,2
04/03/2020,TSLA,0.050303125000000004,32
04/03/2020,UNH,0.4577,2
04/03/2020,V,0.0,2
04/04/2020,DIS,0.0,1
04/04/2020,MSFT,-0.5719,1
04/05/2020,BA,0.0,1
04/05/2020,CCL,0.0,1
04/05/2020,TSLA,-0.4215,1
04/06/2020,AAPL,-0.4215,1
04/06/2020,AMZN,0.5106,1
04/06/2020,BA,0.1333625,8
04/06/2020,BRK.B,-0.1779,1
04/06/2020,CCL,0.7003,1
04/06/2020,TSLA,0.001799999999999996,4
04/08/2020,AAPL,0.21572857142857144,7
04/08/2020,BA,0.5164333333333334,3
04/08/2020,BABA,-0.296,1
04/08/2020,BAC,0.0,1
04/08/2020,DIS,-0.10976,5
04/08/2020,MSFT,0.4592,3
04/08/2020,NFLX,0.3597,1
04/08/2020,PFE,0.0,1
04/08/2020,TSLA,0.11597500000000001,4
04/08/2020,V,0.0,1
04/08/2020,WMT,-0.0516,1
04/09/2020,AAPL,0.07353199999999999,25
04/09/2020,AMZN,0.7003,1
04/09/2020,BA,0.47090000000000004,3
04/09/2020,CCL,0.0,2
04/09/2020,TSLA,0.133656,75
04/09/2020,WMT,0.6249,1
04/10/2020,AAPL,-0.0784,4
04/11/2020,AAPL,0.11655,6
04/11/2020,AMZN,0.0,2
04/11/2020,BA,0.765,1
04/11/2020,CCL,-0.6418,1
04/11/2020,TSLA,-0.07702222222222223,9
04/12/2020,AAPL,-0.03839999999999999,3
04/12/2020,BA,0.2536333333333333,3
04/12/2020,BABA,0.2006,2
04/12/2020,CCL,0.5859,1
04/12/2020,FB,-0.1779,1
