,AAPL
2018-01-02,40.26707077026367
2018-01-03,40.26005935668945
2018-01-04,40.44707107543945
2018-01-05,40.9075813293457
2018-01-08,40.755638122558594
2018-01-09,40.75095748901367
2018-01-10,40.74161148071289
2018-01-11,40.973026275634766
2018-01-12,41.396121978759766
2018-01-16,41.18574142456055
2018-01-17,41.86597442626953
2018-01-18,41.90338134765625
2018-01-19,41.716365814208984
2018-01-22,41.37509536743164
2018-01-23,41.38444137573242
2018-01-24,40.725242614746094
2018-01-25,39.99824905395508
2018-01-26,40.09177017211914
2018-01-29,39.26191711425781
2018-01-30,39.030494689941406
2018-01-31,39.13803482055664
2018-02-01,39.21984100341797
2018-02-02,37.51808547973633
2018-02-05,36.580711364746094
2018-02-06,38.109493255615234
2018-02-07,37.293678283691406
2018-02-08,36.26748275756836
2018-02-09,36.71109390258789
2018-02-12,38.18977737426758
2018-02-13,38.57233428955078
2018-02-14,39.283512115478516
2018-02-15,40.60258865356445
2018-02-16,40.47114181518555
2018-02-20,40.33502197265625
2018-02-21,40.151947021484375
2018-02-22,40.48758316040039
2018-02-23,41.19169998168945
2018-02-26,42.00615310668945
2018-02-27,41.87004089355469
2018-02-28,41.8066520690918
2018-03-01,41.07435607910156
2018-03-02,41.358367919921875
2018-03-05,41.50152587890625
2018-03-06,41.4663200378418
2018-03-07,41.08140182495117
2018-03-08,41.52968978881836
2018-03-09,42.24321746826172
2018-03-12,42.651611328125
2018-03-13,42.24086380004883
2018-03-14,41.88175964355469
2018-03-15,41.93104934692383
2018-03-16,41.78318405151367
2018-03-19,41.144779205322266
2018-03-20,41.13069152832031
2018-03-21,40.19888687133789
2018-03-22,39.630889892578125
2018-03-23,38.713172912597656
2018-03-26,40.55094909667969
2018-03-27,39.51118087768555
2018-03-28,39.07461929321289
2018-03-29,39.37974548339844
2018-04-02,39.121559143066406
2018-04-03,39.52293014526367
2018-04-04,40.2786865234375
2018-04-05,40.55799865722656
2018-04-06,39.52058410644531
2018-04-09,39.91254806518555
2018-04-10,40.66361999511719
2018-04-11,40.47349166870117
2018-04-12,40.87250900268555
2018-04-13,41.010990142822266
2018-04-16,41.266822814941406
2018-04-17,41.83481979370117
2018-04-18,41.74093246459961
2018-04-19,40.55799865722656
2018-04-20,38.896244049072266
2018-04-23,38.78358459472656
2018-04-24,38.24374771118164
2018-04-25,38.41038131713867
2018-04-26,38.54418182373047
2018-04-27,38.09823226928711
2018-04-30,38.788265228271484
2018-05-01,39.68956756591797
2018-05-02,41.442867279052734
2018-05-03,41.51796340942383
2018-05-04,43.146854400634766
2018-05-07,43.45901870727539
2018-05-08,43.667911529541016
2018-05-09,43.97536849975586
2018-05-10,44.60440444946289
2018-05-11,44.434749603271484
2018-05-14,44.331085205078125
2018-05-15,43.928192138671875
2018-05-16,44.33816146850586
2018-05-17,44.057777404785156
2018-05-18,43.89756774902344
2018-05-21,44.208580017089844
2018-05-22,44.09782791137695
2018-05-23,44.38056945800781
2018-05-24,44.331085205078125
2018-05-25,44.43239212036133
2018-05-29,44.27220153808594
2018-05-30,44.17794418334961
