,MSFT
2018-01-02,78.69989013671875
2018-01-03,79.06613159179688
2018-01-04,79.76207733154297
2018-01-05,80.75096130371094
2018-01-08,80.83335876464844
2018-01-09,80.7784423828125
2018-01-10,80.41214752197266
2018-01-11,80.65023040771484
2018-01-12,82.04203033447266
2018-01-16,80.8974609375
2018-01-17,82.53646850585938
2018-01-18,82.49983978271484
2018-01-19,82.40827941894531
2018-01-22,83.88247680664062
2018-01-23,84.14800262451172
2018-01-24,84.07476043701172
2018-01-25,84.54176330566406
2018-01-26,86.12580871582031
2018-01-29,85.99763488769531
2018-01-30,84.91714477539062
2018-01-31,86.99568176269531
2018-02-01,86.30891418457031
2018-02-02,84.03813934326172
2018-02-05,80.57699584960938
2018-02-06,83.62609100341797
2018-02-07,82.0511703491211
2018-02-08,77.83920288085938
2018-02-09,80.74180603027344
2018-02-12,81.61166381835938
2018-02-13,82.25263977050781
2018-02-14,83.54053497314453
2018-02-15,85.24244689941406
2018-02-16,84.63528442382812
2018-02-20,85.29763793945312
2018-02-21,84.16612243652344
2018-02-22,84.38693237304688
2018-02-23,86.5303726196289
2018-02-26,87.78153228759766
2018-02-27,86.65916442871094
2018-02-28,86.26355743408203
2018-03-01,85.41722869873047
2018-03-02,85.6012191772461
2018-03-05,86.14398956298828
2018-03-06,85.84961700439453
2018-03-07,86.34638977050781
2018-03-08,86.87073516845703
2018-03-09,88.81185150146484
2018-03-12,89.02342987060547
2018-03-13,86.85235595703125
2018-03-14,86.33718872070312
2018-03-15,86.64078521728516
2018-03-16,87.02713775634766
2018-03-19,85.45404815673828
2018-03-20,85.67483520507812
2018-03-21,85.0768814086914
2018-03-22,82.60220336914062
2018-03-23,80.20114135742188
2018-03-26,86.2728042602539
2018-03-27,82.30783081054688
2018-03-28,82.23421478271484
2018-03-29,83.96370697021484
2018-04-02,81.43387603759766
2018-04-03,82.5285873413086
2018-04-04,84.93888092041016
2018-04-05,84.98486328125
2018-04-06,83.0069808959961
2018-04-09,83.50373077392578
2018-04-10,85.4448471069336
2018-04-11,84.50648498535156
2018-04-12,86.08882141113281
2018-04-13,85.62882232666016
2018-04-16,86.6315689086914
2018-04-17,88.37948608398438
2018-04-18,88.7198715209961
2018-04-19,88.4162826538086
2018-04-20,87.39513397216797
2018-04-23,87.71710205078125
2018-04-24,85.66564178466797
2018-04-25,84.92045593261719
2018-04-26,86.71435546875
2018-04-27,88.14948272705078
2018-04-30,86.03360748291016
2018-05-01,87.39513397216797
